epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
21,805.088,1.27631,0.64704,1.18355,0.85937,0.8102,0.87597,0.50647,1.45618,0.66939,1.31678,0.001208,0.001208,0.001208
22,842.448,1.22757,0.6091,1.15685,0.86073,0.83211,0.88849,0.53017,1.42659,0.63478,1.29496,0.0011684,0.0011684,0.0011684
23,883.254,1.21952,0.61983,1.15057,0.855,0.84875,0.88972,0.52194,1.43418,0.64259,1.28552,0.0011288,0.0011288,0.0011288
24,920.529,1.23192,0.61545,1.16693,0.84647,0.84697,0.88699,0.52748,1.414,0.62635,1.28634,0.0010892,0.0010892,0.0010892
25,957.511,1.17091,0.58337,1.13082,0.86005,0.82266,0.88328,0.53169,1.41012,0.63609,1.28132,0.0010496,0.0010496,0.0010496
26,995.81,1.16302,0.58888,1.12418,0.85073,0.84512,0.88053,0.52035,1.41652,0.63909,1.27951,0.00101,0.00101,0.00101
27,1033.22,1.16485,0.5885,1.11727,0.85765,0.85647,0.89226,0.53709,1.39902,0.6143,1.27641,0.0009704,0.0009704,0.0009704
28,1073.18,1.14361,0.56635,1.10827,0.87554,0.85115,0.90304,0.54706,1.38748,0.60374,1.27356,0.0009308,0.0009308,0.0009308
29,1113.33,1.13566,0.56843,1.11407,0.86661,0.84579,0.89614,0.54675,1.38163,0.62108,1.25824,0.0008912,0.0008912,0.0008912
30,1150.66,1.12144,0.55784,1.09943,0.86882,0.85231,0.90049,0.54501,1.37683,0.60722,1.26869,0.0008516,0.0008516,0.0008516
31,1188,1.10255,0.55321,1.08665,0.86125,0.85416,0.89961,0.55552,1.36013,0.59496,1.26384,0.000812,0.000812,0.000812
32,1225.98,1.08473,0.54288,1.08647,0.87345,0.84329,0.9001,0.54558,1.39841,0.61265,1.26325,0.0007724,0.0007724,0.0007724
33,1264.11,1.08456,0.55192,1.08117,0.86675,0.84638,0.89899,0.54288,1.39356,0.61176,1.28236,0.0007328,0.0007328,0.0007328
34,1301.39,1.05352,0.52591,1.07162,0.88715,0.84401,0.9036,0.55125,1.40072,0.60055,1.27034,0.0006932,0.0006932,0.0006932
35,1338.64,1.01835,0.51149,1.06396,0.86034,0.85862,0.90076,0.54794,1.37748,0.60876,1.28976,0.0006536,0.0006536,0.0006536
36,1375.96,1.02876,0.52625,1.057,0.85899,0.86121,0.90468,0.55566,1.3567,0.59834,1.27197,0.000614,0.000614,0.000614
37,1416.12,0.99916,0.50609,1.0491,0.86256,0.86477,0.89709,0.54406,1.35438,0.59541,1.2978,0.0005744,0.0005744,0.0005744
38,1453.54,1.00451,0.51091,1.05091,0.86324,0.84607,0.89862,0.55374,1.37325,0.59669,1.28093,0.0005348,0.0005348,0.0005348
39,1490.83,0.98438,0.48974,1.04535,0.87103,0.84579,0.89763,0.55864,1.36241,0.58354,1.27818,0.0004952,0.0004952,0.0004952
